78550096,"Rua das Amendoeiras, de 151/152 a 695/696",Setor Comercial,9398,13
78550098,"Rua das Caviúnas, de 1385 a 2197 - lado ímpar",Setor Comercial,9398,13
78550099,"Rua das Caviúnas, de 1384 a 2196 - lado par",Setor Comercial,9398,13
78550100,"Rua das Hortências, de 1074/1075 a 1765/1766",Setor Comercial,9398,13
78550102,"Rua das Magnólias, até 287/288",Setor Comercial,9398,13
78550104,"Rua das Grevíleas, até 285/286",Setor Comercial,9398,13
78550106,"Rua das Andirobas, até 299/300",Setor Comercial,9398,13
78550108,"Avenida das Embaúbas, de 1623 ao fim - lado ímpar",Setor Comercial,9398,13
78550110,"Avenida das Embaúbas, de 1624 ao fim - lado par",Setor Comercial,9398,13
78550112,"Rua das Grevíleas, de 287/288 ao fim",Setor Comercial,9398,13
78550114,"Rua das Aroeiras, de 1312/1313 ao fim",Setor Comercial,9398,13
78550116,"Rua das Graviolas, até 144/145",Setor Comercial,9398,13
78550118,"Rua das Hortências, de 1767/1768 ao fim",Setor Comercial,9398,13
78550120,Rua das Helicôneas,Setor Comercial,9398,13
78550124,"Avenida dos Ingás, de 2466 a 3060 - lado par",Setor Comercial,9398,13
78550126,Rua das Cajaranas,Setor Comercial,9398,13
78550128,Rua das Casuarinas,Setor Comercial,9398,13
78550130,Rua dos Barus,Setor Comercial,9398,13
78550132,Rua das Leucenas,Setor Comercial,9398,13
78550134,"Rua das Violetas, até 199/200",Setor Comercial,9398,13
78550136,"Rua das Graviolas, de 146/147 ao fim",Setor Comercial,9398,13
78550138,Praça dos Três Poderes,Setor Comercial,9398,13
78550140,"Rua das Alamandas, até 210/211",Setor Comercial,9398,13
78550142,"Rua das Nogueiras, de 1305/1306 ao fim",Setor Comercial,9398,13
78550144,"Rua das Pitangueiras, de 1305/1306 ao fim",Setor Comercial,9398,13
78550146,"Avenida das Itaúbas, de 3357 a 3717 - lado ímpar",Setor Comercial,9398,13
78550148,"Avenida das Figueiras, de 1623 ao fim - lado ímpar",Setor Comercial,9398,13
78550152,"Rua das Alamandas, de 212/213 ao fim",Setor Comercial,9398,13
78550154,"Rua dos Araçás, até 299/300",Setor Comercial,9398,13
78550156,"Rua dos Açaís, até 320/321",Setor Comercial,9398,13
78550158,"Rua das Violetas, de 221/222 a 797/798",Setor Comercial,9398,13
78550160,"Avenida dos Ingás, de 3062 a 3632 - lado par",Setor Comercial,9398,13
78550164,"Rua dos Angicos, de 171/172 a 599/600",Setor Comercial,9398,13
78550166,"Rua dos Eucaliptos, de 300/301 a 799/800",Setor Comercial,9398,13
78550168,"Avenida das Palmeiras, de 1683 a 2135 - lado ímpar",Setor Comercial,9398,13
78550170,"Avenida das Itaúbas, de 3719 a 4351 - lado ímpar",Setor Comercial,9398,13
78550172,"Avenida das Palmeiras, de 1385 a 1681 - lado ímpar",Setor Comercial,9398,13
78550176,"Rua das Azaléias, de 1912/1913 a 2599/2600",Setor Comercial,9398,13
78550178,"Rua das Avencas, de 1945 a 2601 - lado ímpar",Setor Comercial,9398,13
78550180,"Rua dos Eucaliptos, até 298/299",Setor Comercial,9398,13
78550182,"Rua dos Angicos, até 169/170",Setor Comercial,9398,13
78550184,"Rua dos Cajueiros, de 1385/1386 a 1669/1670",Setor Comercial,9398,13
78550186,Rua dos Ariris,Setor Comercial,9398,13
78550188,Rua dos Álamos,Setor Comercial,9398,13
78550190,"Avenida das Figueiras, de 1342 a 1622 - lado par",Setor Comercial,9398,13
78550194,"Avenida das Itaúbas, de 3127 a 3355 - lado ímpar",Setor Comercial,9398,13
78550196,"Avenida das Itaúbas, de 3160 a 3424 - lado par",Setor Comercial,9398,13
78550198,"Rua das Azaléias, de 1401/1402 a 1600/1601",Setor Comercial,9398,13
78550200,"Rua das Nogueiras, de 884/885 a 1303/1304",Setor Comercial,9398,13
78550202,"Avenida Governador Júlio Campos, de 1017 ao fim - lado ímpar",Setor Comercial,9398,13
78550204,"Rua das Azaléias, de 1602/1603 a 1910/1911",Setor Comercial,9398,13
